dimensions,budget,problem,algorithm,perf_a,perf_b,equal
100,200,f1_Sphere,CMA,1260.9080906965,1260.9080906965,True
100,200,f1_Sphere,CMA,1218.9639416891,1218.9639416891,True
100,200,f1_Sphere,CMA,1042.5489880492,1042.5489880492,True
100,200,f1_Sphere,CMA,993.1693425451,993.1693425451,True
100,200,f1_Sphere,CMA,1102.2731698308,1102.2731698308,True
100,200,f1_Sphere,CMA,1010.6454619165,1010.6454619165,True
100,200,f1_Sphere,CMA,849.891076556,849.891076556,True
100,200,f1_Sphere,CMA,1036.7648655471,1036.7648655471,True
100,200,f1_Sphere,CMA,885.1816626545,885.1816626545,True
100,200,f1_Sphere,CMA,1171.236215309,1171.236215309,True
100,200,f1_Sphere,CMA,1110.2867476763,1110.2867476763,True
100,200,f1_Sphere,CMA,1213.1114420181,1213.1114420181,True
100,200,f1_Sphere,CMA,1199.681450127,1199.681450127,True
100,200,f1_Sphere,CMA,1099.5890460957,1099.5890460957,True
100,200,f1_Sphere,CMA,1316.3283586789,1316.3283586789,True
100,200,f1_Sphere,CMA,1110.5913166017,1110.5913166017,True
100,200,f1_Sphere,CMA,1200.6632904187,1200.6632904187,True
100,200,f1_Sphere,CMA,1404.0073941598,1404.0073941598,True
100,200,f1_Sphere,CMA,1367.7777070022,1367.7777070022,True
100,200,f1_Sphere,CMA,921.0205665532,921.0205665532,True
100,200,f1_Sphere,CMA,1019.745153154,1019.745153154,True
100,200,f1_Sphere,CMA,1222.8893943905,1222.8893943905,True
100,200,f1_Sphere,CMA,985.1645946379,985.1645946379,True
100,200,f1_Sphere,CMA,1015.0890442967,1015.0890442967,True
100,200,f1_Sphere,CMA,1120.39642898,1120.39642898,True
100,200,f1_Sphere,ChainMetaModelPowell,1260.9080906965,1298.4444204165,False
100,200,f1_Sphere,ChainMetaModelPowell,1218.9639416891,1277.7662040648,False
100,200,f1_Sphere,ChainMetaModelPowell,1042.5489880492,1091.1335731984,False
100,200,f1_Sphere,ChainMetaModelPowell,993.1693425451,1005.2741732948,False
100,200,f1_Sphere,ChainMetaModelPowell,1102.2731698308,1116.30615196,False
100,200,f1_Sphere,ChainMetaModelPowell,1010.6454619165,1038.5609032112,False
100,200,f1_Sphere,ChainMetaModelPowell,849.891076556,884.7982397173,False
100,200,f1_Sphere,ChainMetaModelPowell,1036.7648655471,1052.4168394501,False
100,200,f1_Sphere,ChainMetaModelPowell,885.1816626545,913.4496938241,False
100,200,f1_Sphere,ChainMetaModelPowell,1171.236215309,1215.7344663519,False
100,200,f1_Sphere,ChainMetaModelPowell,1110.2867476763,1156.1040746161,False
100,200,f1_Sphere,ChainMetaModelPowell,1213.1114420181,1249.0459356052,False
100,200,f1_Sphere,ChainMetaModelPowell,1199.681450127,1246.007403821,False
100,200,f1_Sphere,ChainMetaModelPowell,1099.5890460957,1123.3418760361,False
100,200,f1_Sphere,ChainMetaModelPowell,1316.3283586789,1357.5354537865,False
100,200,f1_Sphere,ChainMetaModelPowell,1110.5913166017,1152.131039993,False
100,200,f1_Sphere,ChainMetaModelPowell,1200.6632904187,1239.4614312724,False
100,200,f1_Sphere,ChainMetaModelPowell,1404.0073941598,1450.6428235333,False
100,200,f1_Sphere,ChainMetaModelPowell,1367.7777070022,1404.2606521588,False
100,200,f1_Sphere,ChainMetaModelPowell,921.0205665532,927.1389270053,False
100,200,f1_Sphere,ChainMetaModelPowell,1019.745153154,1058.8762956324,False
100,200,f1_Sphere,ChainMetaModelPowell,1222.8893943905,1283.8816179226,False
100,200,f1_Sphere,ChainMetaModelPowell,985.1645946379,988.81801836,False
100,200,f1_Sphere,ChainMetaModelPowell,1015.0890442967,1021.7340925204,False
100,200,f1_Sphere,ChainMetaModelPowell,1120.39642898,1162.1793253327,False
100,200,f1_Sphere,Cobyla,337.9348935595,337.9348935595,True
100,200,f1_Sphere,Cobyla,293.6556234993,293.6556234993,True
100,200,f1_Sphere,Cobyla,281.7488515069,281.7488515069,True
100,200,f1_Sphere,Cobyla,262.186923646,262.186923646,True
100,200,f1_Sphere,Cobyla,291.6698905278,291.6698905278,True
100,200,f1_Sphere,Cobyla,247.7671086815,247.7671086815,True
100,200,f1_Sphere,Cobyla,185.2889872512,185.2889872512,True
100,200,f1_Sphere,Cobyla,313.9458797245,313.9458797245,True
100,200,f1_Sphere,Cobyla,221.4438177252,221.4438177252,True
100,200,f1_Sphere,Cobyla,292.8656194796,292.8656194796,True
100,200,f1_Sphere,Cobyla,289.2939454607,289.2939454607,True
100,200,f1_Sphere,Cobyla,366.1490698884,366.1490698884,True
100,200,f1_Sphere,Cobyla,366.5335695577,366.5335695577,True
100,200,f1_Sphere,Cobyla,279.9923606302,279.9923606302,True
100,200,f1_Sphere,Cobyla,336.1954785435,336.1954785435,True
100,200,f1_Sphere,Cobyla,319.8905646723,319.8905646723,True
100,200,f1_Sphere,Cobyla,323.7256246584,323.7256246584,True
100,200,f1_Sphere,Cobyla,427.6557233224,427.6557233224,True
100,200,f1_Sphere,Cobyla,404.009630087,404.009630087,True
100,200,f1_Sphere,Cobyla,233.3675688361,233.3675688361,True
100,200,f1_Sphere,Cobyla,269.0190811497,269.0190811497,True
100,200,f1_Sphere,Cobyla,359.2442034579,359.2442034579,True
100,200,f1_Sphere,Cobyla,226.9204545857,226.9204545857,True
100,200,f1_Sphere,Cobyla,239.8579248231,239.8579248231,True
100,200,f1_Sphere,Cobyla,286.9325582762,286.9325582762,True
100,200,f1_Sphere,MetaModel,1260.9080906965,1260.9080906965,True
100,200,f1_Sphere,MetaModel,1218.9639416891,1218.9639416891,True
100,200,f1_Sphere,MetaModel,1042.5489880492,1042.5489880492,True
100,200,f1_Sphere,MetaModel,993.1693425451,993.1693425451,True
100,200,f1_Sphere,MetaModel,1102.2731698308,1102.2731698308,True
100,200,f1_Sphere,MetaModel,1010.6454619165,1010.6454619165,True
100,200,f1_Sphere,MetaModel,849.891076556,849.891076556,True
100,200,f1_Sphere,MetaModel,1036.7648655471,1036.7648655471,True
100,200,f1_Sphere,MetaModel,885.1816626545,885.1816626545,True
100,200,f1_Sphere,MetaModel,1171.236215309,1171.236215309,True
