dimensions,budget,algorithm,rank,algo ID
2,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
2,200,MetaModelOnePlusOne,2,4
2,200,ChainMetaModelPowell,3,1
2,200,CMA,5,0
2,200,MetaModel,ngopt_3,3
3,200,MetaModelOnePlusOne,2,4
3,200,ChainMetaModelPowell,3,1
3,200,MetaModel,3,3
3,200,Cobyla,5,2
3,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
5,200,MetaModelOnePlusOne,1,4
5,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
5,200,ChainMetaModelPowell,4,1
5,200,MetaModel,4,3
5,200,Cobyla,ngopt_3,2
10,200,MetaModelOnePlusOne,2,4
10,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,5
10,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
10,200,ChainMetaModelPowell,4,1
10,200,Cobyla,ngopt_1,2
15,200,MetaModelOnePlusOne,2,4
15,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,5
15,200,CMA,4,0
15,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
15,200,Cobyla,ngopt_1,2
20,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
20,200,MetaModelOnePlusOne,3,4
20,200,CMA,4,0
20,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
20,200,Cobyla,ngopt_1,2
25,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
25,200,MetaModelOnePlusOne,3,4
25,200,CMA,4,0
25,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
25,200,Cobyla,ngopt_1,2
30,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
30,200,MetaModelOnePlusOne,3,4
30,200,CMA,4,0
30,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
30,200,Cobyla,ngopt_1,2
35,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
35,200,MetaModelOnePlusOne,3,4
35,200,CMA,4,0
35,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
35,200,Cobyla,ngopt_1,2
40,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
40,200,MetaModelOnePlusOne,3,4
40,200,CMA,4,0
40,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
40,200,Cobyla,ngopt_1,2
45,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
45,200,MetaModelOnePlusOne,3,4
45,200,CMA,4,0
45,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
45,200,Cobyla,ngopt_1,2
50,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
50,200,MetaModelOnePlusOne,3,4
50,200,CMA,4,0
50,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
50,200,Cobyla,ngopt_1,2
60,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
60,200,MetaModelOnePlusOne,3,4
60,200,CMA,4,0
60,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
60,200,Cobyla,ngopt_1,2
70,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
70,200,MetaModelOnePlusOne,3,4
70,200,CMA,4,0
70,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
