dimensions,budget,algorithm,rank,ngopt rank,algo ID
100,10000,MetaModelOnePlusOne,8,0,4
15,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5
25,1000,Cobyla,1,0,2
20,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5
25,4500,CMA,5,0,0
20,1000,Cobyla,1,0,2
30,4500,CMA,5,0,0
35,4500,CMA,7,0,0
15,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,0,5
10,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,0,5
40,4500,CMA,3,0,0
10,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5
50,4500,MetaModelOnePlusOne,7,0,4
60,4500,MetaModelOnePlusOne,3,0,4
5,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5
70,4500,MetaModelOnePlusOne,7,0,4
80,4500,MetaModelOnePlusOne,3,0,4
90,4500,Cobyla,1,0,2
3,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),5,0,5
45,4500,CMA,3,0,0
5,4500,ConfPortfolio_scale2_NA_ngopt14s_8,23,0,10
30,1000,Cobyla,1,0,2
3,4500,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,16,0,32
20,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5
25,4000,CMA,5,0,0
70,1000,Cobyla,1,0,2
30,4000,CMA,6,0,0
35,4000,CMA,7,0,0
60,1000,Cobyla,1,0,2
40,4000,CMA,4,0,0
45,4000,MetaModelOnePlusOne,7,0,4
50,1000,Cobyla,1,0,2
50,4000,MetaModelOnePlusOne,7,0,4
60,4000,MetaModelOnePlusOne,3,0,4
45,1000,Cobyla,1,0,2
70,4000,MetaModelOnePlusOne,7,0,4
80,4000,Cobyla,1,0,2
90,4000,Cobyla,1,0,2
40,1000,Cobyla,1,0,2
100,4000,Cobyla,1,0,2
2,4500,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,23,0,29
35,1000,Cobyla,1,0,2
100,4500,Cobyla,1,0,2
2,5000,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,26,0,28
2,1000,CMA,4,0,0
3,5000,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,13,0,32
3,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,12,0,30
5,6000,ConfPortfolio_scale2_NA_ngopt14s_9,30,0,9
35,500,Cobyla,1,0,2
10,6000,ConfPortfolio_scale2_NA_ngopt14s_1,3,0,38
15,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,0,5
30,500,Cobyla,1,0,2
20,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),5,0,5
25,500,Cobyla,1,0,2
25,6000,CMA,5,0,0
30,6000,CMA,5,0,0
20,500,Cobyla,1,0,2
35,6000,CMA,5,0,0
40,6000,CMA,6,0,0
15,500,Cobyla,1,0,2
45,6000,CMA,5,0,0
50,6000,CMA,5,0,0
10,500,Cobyla,1,0,2
60,6000,MetaModelOnePlusOne,7,0,4
70,6000,MetaModelOnePlusOne,7,0,4
40,500,Cobyla,1,0,2
15,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,0,5
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,11,0,26
90,5000,MetaModelOnePlusOne,7,0,4
100,500,Cobyla,1,0,2
5,5000,ConfPortfolio_scale2_NA_ngopt14s_9,26,0,9
10,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),5,0,5
15,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5
90,500,Cobyla,1,0,2
20,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5
25,5000,CMA,2,0,0
80,500,Cobyla,1,0,2
30,5000,CMA,5,0,0
35,5000,CMA,6,0,0
70,500,Cobyla,1,0,2
40,5000,CMA,3,0,0
45,5000,CMA,3,0,0
60,500,Cobyla,1,0,2
50,5000,CMA,3,0,0
50,500,Cobyla,1,0,2
70,5000,MetaModelOnePlusOne,7,0,4
80,5000,MetaModelOnePlusOne,3,0,4
45,500,Cobyla,1,0,2
100,5000,Cobyla,1,0,2
80,1000,Cobyla,1,0,2
10,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,0,5
5,4000,ConfPortfolio_scale2_NA_ngopt14s_8,25,0,10
35,2500,CMA,7,0,0
2,2000,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,14,0,34
40,2500,MetaModelOnePlusOne,3,0,4
45,2500,MetaModelOnePlusOne,3,0,4
