dimensions,budget,algorithm,rank,ngopt rank,algo ID,in data,points test,rank test
2,200,MetaModel,3,0,3,True,123,4
2,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,340,1
2,200,MetaModelOnePlusOne,2,2,4,True,251,2
2,200,ChainMetaModelPowell,3,3,1,True,143,3
2,200,CMA,5,5,0,True,105,5
2,300,MetaModel,2,0,3,True,196,3
2,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,441,1
2,300,ChainMetaModelPowell,2,2,1,True,203,2
2,300,CMA,4,4,0,True,160,5
2,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38,True,196,3
2,500,CMA,4,0,0,True,221,5
2,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,467,1
2,500,MetaModel,2,2,3,True,240,2
2,500,ChainMetaModelPowell,2,2,1,True,230,4
2,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38,True,240,2
2,1000,CMA,4,0,0,True,429,2
2,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,448,1
2,1000,ChainMetaModelPowell,2,2,1,True,301,5
2,1000,MetaModel,2,2,3,True,380,4
2,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38,True,429,2
2,1500,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,14,0,35,True,403,4
2,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,417,3
2,1500,ChainMetaModelPowell,2,2,1,True,389,5
2,1500,MetaModel,2,2,3,True,427,2
2,1500,CMA,4,4,0,True,464,1
2,2000,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,14,0,34,True,467,2
2,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,419,5
2,2000,ChainMetaModelPowell,2,2,1,True,427,4
2,2000,MetaModel,2,2,3,True,467,2
2,2000,CMA,4,4,0,True,497,1
2,2500,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,16,0,33,True,492,3
2,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,415,5
2,2500,MetaModel,2,2,3,True,495,2
2,2500,ChainMetaModelPowell,2,2,1,True,455,4
2,2500,CMA,4,4,0,True,526,1
2,3000,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,18,0,32,True,536,2
2,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,403,5
2,3000,MetaModel,2,2,3,True,501,3
2,3000,ChainMetaModelPowell,2,2,1,True,469,4
2,3000,CMA,4,4,0,True,543,1
2,3500,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,19,0,31,True,570,1
2,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,411,5
2,3500,MetaModel,2,2,3,True,519,3
2,3500,ChainMetaModelPowell,2,2,1,True,487,4
2,3500,CMA,4,4,0,True,567,2
2,4000,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,22,0,30,True,590,1
2,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,410,5
2,4000,MetaModel,2,2,3,True,534,3
2,4000,ChainMetaModelPowell,2,2,1,True,496,4
2,4000,CMA,4,4,0,True,587,2
2,4500,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,23,0,29,True,624,1
2,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,400,5
2,4500,MetaModel,2,2,3,True,545,3
2,4500,ChainMetaModelPowell,2,2,1,True,511,4
2,4500,CMA,4,4,0,True,605,2
2,5000,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,26,0,28,True,638,1
2,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,388,5
