dimensions,budget,algorithm
2,200,MetaModel
2,300,MetaModel
2,500,CMA
2,1000,CMA
2,1500,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197)], warmup_ratio=0.5)"
2,2000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005)], warmup_ratio=0.5)"
2,2500,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005)], warmup_ratio=0.5)"
2,3000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001)], warmup_ratio=0.5)"
2,3500,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002)], warmup_ratio=0.5)"
2,4000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003)], warmup_ratio=0.5)"
2,4500,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=10.604499373000003)], warmup_ratio=0.5)"
2,5000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=10.604499373000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=13.785849184900005)], warmup_ratio=0.5)"
2,6000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=10.604499373000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=13.785849184900005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=17.921603940370005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=23.29808512248101)], warmup_ratio=0.5)"
2,7000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=10.604499373000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=13.785849184900005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=17.921603940370005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=23.29808512248101), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=30.287510659225312), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=39.37376385699291)], warmup_ratio=0.5)"
2,8000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=10.604499373000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=13.785849184900005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=17.921603940370005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=23.29808512248101), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=30.287510659225312), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=39.37376385699291), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=51.18589301409078), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=66.54166091831802)], warmup_ratio=0.5)"
2,9000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=10.604499373000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=13.785849184900005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=17.921603940370005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=23.29808512248101), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=30.287510659225312), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=39.37376385699291), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=51.18589301409078), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=66.54166091831802), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=86.50415919381344), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=112.45540695195746)], warmup_ratio=0.5)"
2,10000,"ConfPortfolio(optimizers=[Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.0), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.3), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=1.6900000000000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.197), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=2.8561000000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=3.7129300000000005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=4.826809000000001), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=6.274851700000002), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=8.157307210000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=10.604499373000003), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=13.785849184900005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=17.921603940370005), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=23.29808512248101), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=30.287510659225312), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=39.37376385699291), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=51.18589301409078), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=66.54166091831802), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=86.50415919381344), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=112.45540695195746), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=146.1920290375447), Rescaled(base_optimizer=<class 'nevergrad.optimization.optimizerlib.NGOpt14'>, scale=190.04963774880812)], warmup_ratio=0.5)"
