dimensions,budget,algorithm,points,rank,ngopt rank
2,200,CMA,53.0,5,5
2,200,ChainMetaModelPowell,103.0,3,3
2,200,Cobyla,46.0,10,10
2,200,MetaModel,103.0,3,0
2,200,MetaModelOnePlusOne,110.0,2,2
2,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),172.0,1,-1
2,200,ConfPortfolio_scale2_NA_ngopt14s_12,0.0,33,33
2,200,ConfPortfolio_scale2_NA_ngopt14s_11,1.0,31,31
2,200,ConfPortfolio_scale2_NA_ngopt14s_10,0.0,33,33
2,200,ConfPortfolio_scale2_NA_ngopt14s_9,1.0,31,31
2,200,ConfPortfolio_scale2_NA_ngopt14s_8,2.0,26,26
2,200,ConfPortfolio_scale2_NA_ngopt14s_7,2.0,26,26
2,200,ConfPortfolio_scale2_NA_ngopt14s_6,4.0,22,22
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,49.0,7,7
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,47.0,8,8
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,47.0,8,8
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,39.0,11,11
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,36.0,12,12
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_16,8.0,15,15
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_15,6.0,17,17
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,4.0,22,22
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,7.0,16,16
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_12,2.0,26,26
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,3.0,24,24
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,5.0,20,20
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,2.0,26,26
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,3.0,24,24
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,5.0,20,20
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,6.0,17,17
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,2.0,26,26
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,6.0,17,17
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_3,9.0,14,14
2,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_2,14.0,13,13
2,200,ConfPortfolio_scale2_NA_ngopt14s_1,53.0,5,5
3,200,CMA,48.0,6,6
3,200,ChainMetaModelPowell,91.0,3,3
3,200,Cobyla,64.0,5,5
3,200,MetaModel,91.0,3,3
3,200,MetaModelOnePlusOne,130.0,2,2
3,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),144.0,1,0
3,200,ConfPortfolio_scale2_NA_ngopt14s_12,1.0,29,29
3,200,ConfPortfolio_scale2_NA_ngopt14s_11,1.0,29,29
3,200,ConfPortfolio_scale2_NA_ngopt14s_10,1.0,29,29
3,200,ConfPortfolio_scale2_NA_ngopt14s_9,4.0,17,17
3,200,ConfPortfolio_scale2_NA_ngopt14s_8,2.0,25,25
3,200,ConfPortfolio_scale2_NA_ngopt14s_7,1.0,29,29
3,200,ConfPortfolio_scale2_NA_ngopt14s_6,1.0,29,29
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,41.0,8,8
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,35.0,9,9
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,33.0,10,10
3,200,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,31.0,11,11
