has_noise False
fully_continuous True
fully_bounded True
Cobyla 1 1
MetaModel 1 51
ConfPortfolio 1 501
Cobyla 2 1
MetaModel 2 101
CMA 2 500
ConfPortfolio 2 1001
Cobyla 3 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 3 151
ConfPortfolio 3 1501
Cobyla 4 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 4 201
ConfPortfolio 4 2001
Cobyla 5 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 5 251
ConfPortfolio 5 2501
Cobyla 6 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 6 301
ConfPortfolio 6 3001
Cobyla 7 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 7 351
ConfPortfolio 7 3501
Cobyla 8 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 8 401
ConfPortfolio 8 4001
Cobyla 9 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 9 451
ConfPortfolio 9 4501
Cobyla 10 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 10 501
ConfPortfolio 10 5001
Cobyla 11 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 11 551
ConfPortfolio 11 5501
Cobyla 12 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 12 601
ConfPortfolio 12 6001
Cobyla 13 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 13 651
ConfPortfolio 13 6501
Cobyla 14 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 14 701
ConfPortfolio 14 7001
Cobyla 15 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 15 751
ConfPortfolio 15 7501
Cobyla 16 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 16 801
ConfPortfolio 16 8001
Cobyla 17 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 17 851
ConfPortfolio 17 8501
Cobyla 18 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 18 901
ConfPortfolio 18 9001
Cobyla 19 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 19 951
ConfPortfolio 19 9501
Cobyla 20 1
ParametrizedMetaModel(multivariate_optimizer=CmaFmin2) 20 1001
Cobyla 21 1
CMA 21 1051
ChainMetaModelPowell 21 6001
Cobyla 22 1
CMA 22 1101
ChainMetaModelPowell 22 6001
Cobyla 23 1
CMA 23 1151
ChainMetaModelPowell 23 6001
Cobyla 24 1
CMA 24 1201
ChainMetaModelPowell 24 6001
Cobyla 25 1
CMA 25 1251
ChainMetaModelPowell 25 6001
Cobyla 26 1
MetaModelOnePlusOne 26 1301
CMA 26 1352
ChainMetaModelPowell 26 6001
Cobyla 27 1
MetaModelOnePlusOne 27 1351
CMA 27 1458
ChainMetaModelPowell 27 6001
Cobyla 28 1
MetaModelOnePlusOne 28 1401
CMA 28 1568
ChainMetaModelPowell 28 6001
Cobyla 29 1
MetaModelOnePlusOne 29 1451
CMA 29 1682
ChainMetaModelPowell 29 6001
Cobyla 30 1
MetaModelOnePlusOne 30 1501
CMA 30 1800
ChainMetaModelPowell 30 6001
Cobyla 31 1
MetaModelOnePlusOne 31 1551
CMA 31 1922
ChainMetaModelPowell 31 6001
Cobyla 32 1
MetaModelOnePlusOne 32 1601
CMA 32 2048
ChainMetaModelPowell 32 6001
Cobyla 33 1
MetaModelOnePlusOne 33 1651
CMA 33 2178
ChainMetaModelPowell 33 6001
Cobyla 34 1
MetaModelOnePlusOne 34 1701
CMA 34 2312
ChainMetaModelPowell 34 6001
Cobyla 35 1
MetaModelOnePlusOne 35 1751
CMA 35 2450
ChainMetaModelPowell 35 6001
Cobyla 36 1
MetaModelOnePlusOne 36 1801
CMA 36 2592
ChainMetaModelPowell 36 6001
Cobyla 37 1
MetaModelOnePlusOne 37 1851
CMA 37 2738
ChainMetaModelPowell 37 6001
Cobyla 38 1
MetaModelOnePlusOne 38 1901
CMA 38 2888
ChainMetaModelPowell 38 6001
Cobyla 39 1
MetaModelOnePlusOne 39 1951
CMA 39 3042
ChainMetaModelPowell 39 6001
Cobyla 40 1
MetaModelOnePlusOne 40 2001
CMA 40 3200
ChainMetaModelPowell 40 6001
Cobyla 41 1
MetaModelOnePlusOne 41 2051
CMA 41 3362
ChainMetaModelPowell 41 6001
Cobyla 42 1
MetaModelOnePlusOne 42 2101
CMA 42 3528
ChainMetaModelPowell 42 6001
Cobyla 43 1
MetaModelOnePlusOne 43 2151
CMA 43 3698
ChainMetaModelPowell 43 6001
Cobyla 44 1
MetaModelOnePlusOne 44 2201
CMA 44 3872
ChainMetaModelPowell 44 6001
Cobyla 45 1
MetaModelOnePlusOne 45 2251
CMA 45 4050
ChainMetaModelPowell 45 6001
Cobyla 46 1
MetaModelOnePlusOne 46 2301
CMA 46 4232
ChainMetaModelPowell 46 6001
Cobyla 47 1
MetaModelOnePlusOne 47 2351
CMA 47 4418
ChainMetaModelPowell 47 6001
Cobyla 48 1
MetaModelOnePlusOne 48 2401
CMA 48 4608
ChainMetaModelPowell 48 6001
Cobyla 49 1
MetaModelOnePlusOne 49 2451
CMA 49 4802
